model,threshold,tn,fp,fn,tp,precision,recall,f1,pr_auc,roc_auc,cost
Always negative baseline,0.5,15625,0,375,0,0.0,0.0,0.0,0.0234375,0.5,187500
Extra Trees (test),0.1428528162210973,15258,367,19,356,0.49239280774550487,0.9493333333333334,0.6484517304189436,0.882407810918961,0.9941515093333333,13170
