feature,importance
missingindicator_br_000,0.05323171253978717
missingindicator_bp_000,0.04863478171585699
missingindicator_bq_000,0.03885807481911063
missingindicator_bn_000,0.03866912155576615
missingindicator_bo_000,0.0379690164911851
cq_000,0.024242883858654536
missingindicator_bm_000,0.02319730964794458
bt_000,0.02143111537726851
an_000,0.02021665018972589
bg_000,0.019472757370975903
ci_000,0.017034659947211025
bb_000,0.015121122548115406
ao_000,0.014790802809691042
aa_000,0.014557241127478426
bu_000,0.014186324488550072
bv_000,0.013710964183764454
cc_000,0.01266801121564759
bj_000,0.01237932817172632
aq_000,0.012310675642155091
dn_000,0.011352541862480765
bx_000,0.01114606393613245
by_000,0.010999861314409987
ah_000,0.01083570180335151
missingindicator_ak_000,0.010256232675911837
missingindicator_df_000,0.00941786110454575
missingindicator_dh_000,0.009211903491001172
missingindicator_dj_000,0.008989555786998456
ba_001,0.008545514057282332
missingindicator_dl_000,0.008534090697935584
missingindicator_ca_000,0.007815175099822182
ck_000,0.0074611120641053285
bh_000,0.0071710107257824
missingindicator_ac_000,0.006773490436989826
missingindicator_di_000,0.006722073261108694
ap_000,0.006538663879452883
cn_003,0.006467127465973971
ba_003,0.006390483102383307
cs_004,0.006374638894113389
ba_000,0.006279755684504966
missingindicator_eb_000,0.00624433618385492
missingindicator_dg_000,0.00622767862129597
dt_000,0.005797351040833118
dd_000,0.005758165422904083
missingindicator_bl_000,0.005630540257246862
missingindicator_cc_000,0.005532305858815864
ay_008,0.005350228224876643
ag_003,0.005298353540385219
bo_000,0.004964607451079808
ag_005,0.004879567417716115
missingindicator_bx_000,0.004829964763524573
ee_006,0.0048207497995662015
cs_005,0.004815903014711474
ee_000,0.004544802048869201
ee_005,0.004453342562854495
am_0,0.004437662887992782
missingindicator_dk_000,0.004411795743306457
cn_004,0.004315628148329481
cn_001,0.004309674447808251
bq_000,0.0042632626155846304
bk_000,0.004147758614526494
ba_002,0.004138618782455807
ba_005,0.004122457019304032
missingindicator_dm_000,0.0041215672630555665
bn_000,0.004067581397439556
bi_000,0.004043189487333841
ds_000,0.003974742418040505
missingindicator_cp_000,0.0038877429583764667
cs_003,0.003824223852396949
br_000,0.0038162259120746215
cs_002,0.003768674197253581
az_005,0.003725639211358206
cn_002,0.003655008188700642
ba_004,0.0036371522488599815
bm_000,0.003635605181082644
al_000,0.0036073825530467214
missingindicator_dz_000,0.003467774366924109
missingindicator_bc_000,0.003427859165456139
bl_000,0.0034224795302513697
missingindicator_dy_000,0.0032619495280930056
ee_003,0.0032508931045920806
missingindicator_bz_000,0.003221910865200466
cs_001,0.0031227234243235255
bs_000,0.0030730661137686123
missingindicator_ea_000,0.0030444686241479137
az_004,0.0029938411270728433
missingindicator_cl_000,0.0029749583776222644
cn_005,0.002963647737883016
ag_004,0.00294989920940384
ag_006,0.0029485239080344096
cs_000,0.002920361516113409
ac_000,0.0028852691624175354
ee_007,0.00278933477357905
ee_002,0.002665743625982212
missingindicator_dx_000,0.002658717510993534
ba_008,0.0026342457448764937
ba_007,0.0025772670209024662
ag_002,0.0025669135609677454
cj_000,0.002565747232850561
ce_000,0.0025463725318211014
missingindicator_ar_000,0.0025141220396356924
ba_006,0.002506986137654018
